kode;navn
911253;Røved By, Ødum
911254;Selling By, Ødum
911255;Tåstrup By, Ødum
911256;Ødum By, Ødum
911551;Balle By, Hadsten
911552;Vinterslev By, Hadsten
980251;Folby By, Folby
980252;Norring By, Folby
980253;Ris By, Folby
980254;Tinning By, Folby
980351;Hadsten By, Over-og Neder Hadsten
980451;Hår By, Haldum
980452;Haldum By, Haldum
980453;Hinnerup By, Haldum
980454;Sandby By, Haldum
980551;Fajstrup By, Lading
980552;Lading By, Lading
980553;Lyngballegård Hgd., Lading
980554;Skjoldelev By, Lading
980651;Bægårde, Lyngå
980652;Favrskov Hgd., Lyngå
980653;Lyngå By, Lyngå
980654;Svejstrup By, Lyngå
980655;Vivild By, Lyngå
980851;Vitten By, Vitten
1010351;Grundfør By, Grundfør
1010352;Haraldslund Hgd., Grundfør
1010353;Hinnerup By, Grundfør
1010651;Søften By, Søften
1060451;Anbæk, Hammel
1060452;Frijsenborg Hgd., Hammel
1060453;Hammel By, Hammel
1060454;Tulstrup Mølle, Hammel
1060751;Klintrup By, Røgen
1060752;Løkkegård, Røgen
1060753;Ovstrupgårde, Røgen
1060754;Røgen By, Røgen
1060851;Grølsted By, Skorup
1061051;Farre By, Sporup
1061052;Kraruplund, Sporup
1061053;Lyngby By, Sporup
1061151;Hedehusene, Søby
1061152;Møgelby By, Søby
1061153;Mølgårde, Søby
1061154;Svenstrup By, Søby
1061155;Søbygård Hgd., Søby
1061156;Vadsted By, Søby
1061451;Voldby By, Voldby
1080251;Flemming By, Hornborg
1080252;Havrum By, Hornborg
1080253;Hornborg By, Hornborg
1080254;Kalhave By, Hornborg
1080351;Boring By, Hvirring
1080352;Honum By, Hvirring
1080353;Honumskov, Hvirring
1080354;Hvirring By, Hvirring
1080355;Kodallund, Hvirring
1080356;Rask Hgd., Hvirring
1080357;Trebjerg By, Hvirring
1090151;Åle By, Åle
1090152;Bjerregård Hgd., Åle
1090153;Havbjerg, Åle
1090351;Bregnbjerg, Hammer
1090352;Hage By, Hammer
1090353;Hammergård Hgd., Hammer
1090354;Kovtrup By, Hammer
1090355;Møllerup By, Hammer
1090456;Nørskov By, Klovborg
